DateTime,Air temperature | (°C),Pressure | (atm),Wind speed | (m/s),Power generated by system | (MW),n1c,n2c,n3c
2019-01-01 01:00:00,10.926,0.979103,9.014,33.6881,6.73762,15.159645,11.790835
2019-01-01 02:00:00,9.919,0.979566,9.428,37.2619,7.45238,16.767855,13.041665
2019-01-01 03:00:00,8.567,0.979937,8.7,30.5029,6.10058,13.726305,10.676015
2019-01-01 04:00:00,7.877,0.980053,8.481,28.4192,5.68384,12.78864,9.94672
2019-01-01 05:00:00,7.259,0.979867,8.383,27.3703,5.47406,12.316635,9.579605
2019-01-01 06:00:00,6.57,0.979884,8.256,25.8059,5.16118,11.612655,9.032065
2019-01-01 07:00:00,5.897,0.980318,6.476,11.5468,2.30936,5.19606,4.04138
2019-01-01 08:00:00,5.109,0.980597,5.906,8.36076,1.672152,3.762342,2.926266
2019-01-01 09:00:00,4.413,0.980711,5.557,6.42664,1.285328,2.891988,2.249324
2019-01-01 10:00:00,3.754,0.980902,6.081,9.34945,1.86989,4.2072525,3.2723075
2019-01-01 11:00:00,3.169,0.981166,7.384,18.6136,3.72272,8.37612,6.51476
2019-01-01 12:00:00,2.637,0.981347,9.072,35.3811,7.07622,15.921495,12.383385
2019-01-01 13:00:00,1.948,0.981703,7.142,17.3315,3.4663,7.799175,6.066025
2019-01-01 14:00:00,2.296,0.982196,7.451,19.8723,3.97446,8.942535,6.955305
2019-01-01 15:00:00,4.042,0.982576,5.764,8.19046,1.638092,3.685707,2.866661
2019-01-01 16:00:00,5.504,0.982961,5.887,8.7318,1.74636,3.92931,3.05613
2019-01-01 17:00:00,6.217,0.983083,5.866,8.57877,1.715754,3.8604465,3.0025695
2019-01-01 18:00:00,6.74,0.983409,6.266,11.03,2.206,4.9635,3.8605
2019-01-01 19:00:00,7.25,0.983824,6.278,11.0884,2.21768,4.98978,3.88094
2019-01-01 20:00:00,7.579,0.984266,6.311,11.2202,2.24404,5.04909,3.92707
2019-01-01 21:00:00,7.612,0.984686,6.864,14.6931,2.93862,6.611895,5.142585
2019-01-01 22:00:00,7.139,0.985268,6.904,15.0647,3.01294,6.779115,5.272645
2019-01-01 23:00:00,5.44,0.986055,7.024,16.2475,3.2495,7.311375,5.686625
2019-01-02 00:00:00,4.506,0.986852,9.013,34.74,6.948,15.633,12.159
2019-01-02 01:00:00,3.621,0.987624,9.166,35.3936,7.07872,15.92712,12.38776
2019-01-02 02:00:00,2.707,0.988206,9.128,35.2784,7.05568,15.87528,12.34744
